logFC,AveExpr,t,P.Value,adj.P.Val,B,gene_id,Category
-2.227961478,6.884719045,-5.389973054,0.002711219,0.008179091,-2.972757194,g5056.t1,Downregulated
0.396290262,0.686397491,5.266508263,0.003006803,0.008857422,-3.093191723,g9920.t1,None
0.185096657,0.602220007,2.25768198,0.0720276,0.115419498,-6.67540792,g10705.t1,None
-0.484723961,0.413406055,-6.426182115,0.001213537,0.004335243,-2.033553621,g5217.t1,None
-1.336352712,1.943162211,-3.274980911,0.02114651,0.042143044,-5.330096968,g9907.t1,Downregulated
-1.20048914,2.206023683,-3.310845076,0.020310052,0.040807833,-5.2847202,g7285.t1,Downregulated
-1.415162224,1.557501005,-3.916384514,0.010593518,0.024015727,-4.546468633,g2185.t1,Downregulated
0.021040989,0.053620265,0.763673632,0.478574808,0.553635944,-8.460475213,g12200.t1,None
0.425307146,1.004524426,3.15474332,0.024246366,0.047027337,-5.483492288,g11648.t1,None
0.051771818,0.045263085,1.842741313,0.123017176,0.179949325,-7.233477119,g11711.t1,None
2.556738998,7.678554702,14.24767991,2.46970106593365e-05,0.000237268,2.556392122,g3651.t1,Upregulated
0.228149977,0.271144922,3.03880457,0.027724732,0.052544273,-5.633179298,g3812.t1,None
0.654396329,1.122956245,4.836479588,0.004373818,0.011828817,-3.528250494,g11168.t1,None
0.965588528,6.104465643,10.10287619,0.000137447,0.000823039,0.530379594,g600.t1,None
-0.046276265,0.260859021,-0.728527297,0.498063605,0.572559449,-8.488726946,g9312.t2,None
0.474273138,0.685798199,5.937883026,0.001748321,0.005762305,-2.460869842,g1372.t1,None
-1.247441193,3.482147675,-6.389558329,0.001246248,0.004423299,-2.064718922,g6483.t1,Downregulated
0.038386202,0.031821569,1.544928154,0.18134835,0.248639098,-7.619638633,g12907.t1,None
-0.330815872,0.558410512,-1.784030958,0.132797711,0.19158057,-7.311034284,g9731.t1,None
-0.599293135,2.430100411,-3.747359401,0.012631259,0.027768863,-4.747109427,g12888.t1,None
0.024778475,3.682543642,0.087970882,0.933219132,0.948951246,-8.785661736,g7578.t1,None
0.44085219,2.548114499,1.183841668,0.28823049,0.366361813,-8.050326298,g6379.t1,None
0.236460993,0.373177449,5.131798369,0.003373102,0.009671854,-3.2268348,g5204.t1,None
-0.145253086,0.433622658,-1.592552991,0.1704527,0.235663693,-7.559293115,g3924.t1,None
-0.146992714,0.802084472,-1.858155309,0.120572884,0.17702564,-7.213027148,g12626.t1,None
0.296959993,1.462809909,1.64321315,0.15956595,0.222858445,-7.494426146,g8766.t1,None
-1.021160957,4.469533231,-4.866321591,0.004258357,0.011563464,-3.497254786,g3351.t1,Downregulated
1.318444212,4.610843903,22.49311403,2.43167027269293e-06,4.91496021257811e-05,5.277852714,g5313.t1,Upregulated
1.0584453,0.807441425,13.26265067,3.54153931132977e-05,0.000301345,2.13119384,g6640.t1,Upregulated
-0.177229573,5.086596313,-0.852349702,0.431868569,0.510627851,-8.384578519,g13792.t1,None
